Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-05-11 10:52:59.754 +0900,"Running",0:00:00,0,0,0,"20170511_105259.754/LogFile.txt","","",0
2017-05-11 11:17:38.528 +0900,"Success",0:01:14,0,0,0,"20170511_111738.528/LogFile.txt","","",1
