Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-05-08 16:45:52.687 +0900,"Running",0:00:00,0,0,0,"20170508_164552.687/LogFile.txt","","",0
2017-05-08 16:47:51.458 +0900,"Running",0:00:00,0,0,0,"20170508_164751.458/LogFile.txt","","",0
2017-05-08 16:48:39.181 +0900,"Running",0:00:00,0,0,0,"20170508_164839.181/LogFile.txt","","",0
2017-05-08 16:50:13.240 +0900,"Running",0:00:00,0,0,0,"20170508_165013.240/LogFile.txt","","",0
2017-05-08 16:50:23.579 +0900,"Success",0:01:07,0,0,0,"20170508_165023.579/LogFile.txt","","",1
